text
UPI payment of ₹999 sent successfully.
UPI request for ₹7800 received.
UPI request for ₹350 received.
You received ₹999 via UPI.
UPI request for ₹1500 received.
UPI payment of ₹7800 sent successfully.
UPI request for ₹999 received.
You received ₹1500 via UPI.
You received ₹350 via UPI.
UPI payment of ₹999 sent successfully.
UPI request for ₹999 received.
UPI payment of ₹999 sent successfully.
UPI request for ₹7800 received.
You received ₹350 via UPI.
You received ₹7800 via UPI.
UPI request for ₹7800 received.
UPI payment of ₹1500 sent successfully.
UPI request for ₹1500 received.
UPI request for ₹7800 received.
UPI payment of ₹999 sent successfully.
You received ₹7800 via UPI.
UPI request for ₹350 received.
UPI request for ₹7800 received.
You received ₹350 via UPI.
You received ₹350 via UPI.
UPI payment of ₹350 sent successfully.
UPI payment of ₹999 sent successfully.
UPI payment of ₹1500 sent successfully.
You received ₹1500 via UPI.
You received ₹999 via UPI.
UPI request for ₹350 received.
You received ₹1500 via UPI.
UPI request for ₹999 received.
UPI payment of ₹999 sent successfully.
UPI payment of ₹350 sent successfully.
You received ₹1500 via UPI.
UPI request for ₹1500 received.
You received ₹999 via UPI.
UPI request for ₹7800 received.
You received ₹7800 via UPI.
You received ₹7800 via UPI.
UPI payment of ₹999 sent successfully.
UPI request for ₹1500 received.
UPI request for ₹999 received.
UPI payment of ₹7800 sent successfully.
UPI request for ₹999 received.
UPI request for ₹999 received.
UPI payment of ₹350 sent successfully.
UPI request for ₹7800 received.
You received ₹350 via UPI.
You received ₹999 via UPI.
UPI request for ₹1500 received.
UPI request for ₹999 received.
You received ₹999 via UPI.
UPI payment of ₹1500 sent successfully.
UPI request for ₹999 received.
UPI request for ₹1500 received.
UPI payment of ₹350 sent successfully.
UPI payment of ₹7800 sent successfully.
UPI payment of ₹1500 sent successfully.
UPI payment of ₹999 sent successfully.
You received ₹999 via UPI.
UPI payment of ₹1500 sent successfully.
UPI payment of ₹350 sent successfully.
You received ₹7800 via UPI.
UPI request for ₹7800 received.
You received ₹1500 via UPI.
UPI request for ₹999 received.
UPI request for ₹7800 received.
UPI request for ₹1500 received.
UPI payment of ₹7800 sent successfully.
UPI payment of ₹7800 sent successfully.
You received ₹1500 via UPI.
UPI request for ₹1500 received.
UPI payment of ₹7800 sent successfully.
UPI request for ₹350 received.
UPI payment of ₹7800 sent successfully.
UPI payment of ₹7800 sent successfully.
You received ₹350 via UPI.
You received ₹1500 via UPI.
You received ₹350 via UPI.
You received ₹999 via UPI.
UPI request for ₹999 received.
UPI request for ₹350 received.
UPI request for ₹7800 received.
UPI payment of ₹7800 sent successfully.
UPI request for ₹1500 received.
UPI payment of ₹999 sent successfully.
UPI payment of ₹999 sent successfully.
